country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,Mercadolibre BDR,Mercadolibre Inc BDR,BRMELIBDR006,BRL,MELI34,BDR,348807.0,none
brazil,PARANAPANEMA ON,Paranapanema SA,BRPMAMACNOR3,BRL,PMAM3,ON,296665.0,none
brazil,FII RBR ALPHA Fundo,FII RBR ALPHA Fundo de Fundos,BRRBRFCTF003,BRL,RBRF11,FII/Unit,293545.0,none
brazil,Amazon.com Inc BDR,Amazon.com Inc BDR,BRAMZOBDR002,BRL,AMZO34,BDR,291596.0,none
brazil,Apple Inc BDR,Apple Inc BDR,BRAAPLBDR004,BRL,AAPL34,BDR,273698.0,none
brazil,Log Commercial Properties,Log Commercial Properties e Participacoes SA,BRLOGGACNOR7,BRL,LOGG3,ON,272829.0,none
brazil,PINE PN,Banco Pine SA,BRPINEACNPR8,BRL,PINE4,PN,269534.0,none
brazil,VALID ON,VALID ON NM,BRVLIDACNOR5,BRL,VLID3,ON,264360.0,none
brazil,Hedge Top Fofii 3 FII,Hedge Top Fofii 3 Fundo De Investimento Imobiliario,,BRL,HFOF11,FII/Unit,263106.0,none
brazil,MARCOPOLO ON,Marcopolo SA,BRPOMOACNOR0,BRL,POMO3,ON,255685.0,none
brazil,FII Rio Bravo Rendo Varejo,FII Rio Bravo Rendo Varejo,BRRBVACTF006,BRL,RBVA11,FII/Unit,245972.0,none
brazil,PORTOBELLO ON,Portobello SA,BRPTBLACNOR8,BRL,PTBL3,ON,242626.0,none
brazil,TEGMA ON,Tegma Gestao Logistica,BRTGMAACNOR7,BRL,TGMA3,ON,240960.0,none
brazil,METAL LEVE ON,Mahle-Metal Leve SA,BRLEVEACNOR2,BRL,LEVE3,ON,240465.0,none
brazil,SANEPAR ON N2,Companhia de Saneamento do Parana Sanepar,BRSAPRACNOR9,BRL,SAPR3,ON,229390.0,none
brazil,Alphabet A BDR,Alphabet Inc A BDR,BRGOGLBDR001,BRL,GOGL34,BDR,223699.0,none
brazil,LOJAS MARISA ON,Marisa Lojas SA,BRAMARACNOR4,BRL,AMAR3,ON,205275.0,none
brazil,FII Cenesp,Fundo de Investimento Imobiliario FII Cenesp,BRCNESCTF001,BRL,CNES11,FII/Unit,192455.0,none
brazil,PROFARMA ON,PROFARMA ON NM,BRPFRMACNOR1,BRL,PFRM3,ON,183535.0,none
brazil,Recrusul,Recrusul SA,BRRCSLACNOR4,BRL,RCSL3,ON,183026.0,none
brazil,UNIPAR PNB,Unipar Carbocloro SA,BRUNIPACNPB8,BRL,UNIP6,PNB,152456.0,none
brazil,CEMIG ON,Cia Energetica de Minas Gerais,BRCMIGACNOR6,BRL,CMIG3,ON,147798.0,none
brazil,Alianza Trust Renda Imobiliaria,Alianza Trust Renda Imobiliaria FII,BRALZRCTF006,BRL,ALZR11,FII/Unit,146599.0,none
brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,BRAGROACNOR7,BRL,AGRO3,ON,146332.0,buy
brazil,TECNISA ON,Tecnisa SA,BRTCSAACNOR3,BRL,TCSA3,ON,145504.0,none
